Name,Code,Industry,myOpinion,Price,Change,Change%,Volume,PE,PB,"Market cap",Revenue,Profit,NetMargin,ROE,1M,3M,1Y,3Y,5Y,10Y
"Bombay Dyeing  and  Mfg. Co.",590,Manufacturing,,185.80," -9.75 "," -4.99% ","34,689",-,7.08,"3,845.68","2,467.35",-26.62,-1.06,7.09,-26.04,-12.13,1.32,46.04,30.59,8.52
"Bombay Rayon Fashions",16384,Manufacturing,,16.65," -0.65 "," -3.76% ","89,270",-,0.14,541.30,"2,394.85",-615.99,-25.55,-6.98,5.81,-30.24,-86.09,-47.32,-38.94,-26.00
"Borosil Glass Works",601,General,Explore,282.85," 3.45 "," 1.23% ","59,530",49.64,3.08,"2,587.20",317.98,52.12,14.60,6.04,-2.47,18.20,30.11,67.90,74.60,39.98
Bosch,2522,Auto,,"19,800.00"," -351.70 "," -1.75% ","23,779",40.09,5.77,"60,101.44","12,253.95","1,499.11",11.75,14.61,7.19,12.52,-4.82,-0.25,18.52,17.77
BPCL,525,"Oil and Gas",,368.65," 4.45 "," 1.22% ","3,151,712",8.44,2.18,"79,893.58","292,820.36","9,468.04",3.20,25.22,2.03,-11.60,-25.24,7.43,29.01,20.39
"Brigade Enterprises",18074,"Real Estate",YES,197.00," 1.35 "," 0.69% ","14,942",15.54,1.13,"2,654.47","2,041.27",164.58,7.88,6.63,-2.05,-9.94,-21.50,13.28,30.00,6.35
"Britannia Inds.",611,"Consumer Goods",Explore,"5,680.00"," -93.85 "," -1.63% ","190,471",65.23,18.69,"68,261.81","10,194.12","1,046.29",10.09,33.00,-14.76,-3.41,34.87,25.91,50.27,36.05
BSE,23649,General,YES,710.00," -8.15 "," -1.13% ","71,735",15.42,1.10,"3,685.56",490.01,213.60,30.35,22.40,-3.93,-15.40,-26.64,-,-,-
"Cadila Healthcare",6179,Pharma,YES,399.15," 5.05 "," 1.28% ","1,379,831",19.52,4.45,"40,949.70","12,637.50","2,071.70",16.27,22.26,-1.09,-4.43,-18.23,-1.13,23.59,24.44
"Camlin Fine Sciences",17152,Chemicals,,52.95," -0.45 "," -0.84% ","322,713",-,1.79,653.56,764.01,-17.26,-2.20,-8.32,-30.82,-36.51,-34.52,-18.94,45.20,31.24
"Can Fin Homes",646,Bank/Finance,YES,248.65," -5.15 "," -2.03% ","2,237,460",10.73,2.32,"3,303.55","1,581.06",307.84,19.42,24.91,-20.56,-29.98,-50.96,13.20,60.96,35.51
"Canara Bank",6218,Bank/Finance,,234.80," 1.30 "," 0.56% ","6,008,950",-,0.58,"17,190.92","42,416.05","13,332.99",2.75,-0.67,-15.51,-6.58,-28.34,-4.80,1.54,1.87
"Capacite Infraprojects",23878,"Real Estate",,228.85," 0.60 "," 0.26% ","44,829",18.29,2.02,"1,561.50","1,467.09",85.38,5.71,15.08,-13.74,-19.39,-33.37,-,-,-
"Capital First",18169,Bank/Finance,YES,519.00," 8.40 "," 1.65% ","527,576",14.25,2.14,"5,160.15","4,007.20",362.01,8.97,14.57,-18.91,-8.30,-31.66,12.63,25.70,5.24
